blind_id,condition_id,status,failure_cause,planned_replicates,completed_replicates,failed_replicates,failure_rate,spin_true,inclination_deg,eddington_ratio,f_col_true,f_col_fit,inner_stress_delta_eta,mean_bias,median_bias,rmse,mean_width_68,mean_width_95,coverage_68,coverage_95,mean_chi2_per_dof,mean_runtime_s
blind_43cd0eae439c,ap0p900-i40p0-l0p060-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.9,40.0,0.06,1.9,1.7,0.0,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,222.20791459220243,0.0009768999996595084
blind_f3d5bc32fcbe,ap0p900-i40p0-l0p060-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.9,40.0,0.06,1.9,1.7,0.02,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,224.17657830816418,0.0010181539924815296
blind_400326ec8d2e,ap0p900-i40p0-l0p180-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.9,40.0,0.18,1.7,1.7,0.02,0.01851629054388137,0.022784526821897744,0.02016603376133775,0.019065575471757072,0.030908212404341367,0.2,0.95,1.12008949551975,0.0010063510038889945
blind_d13adee18a69,ap0p900-i40p0-l0p180-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.9,40.0,0.18,1.9,1.7,0.0,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,183.6844119074687,0.0009746090031694621
blind_0fa5e27ced7d,ap0p900-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.9,40.0,0.18,1.9,1.7,0.02,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,186.8198520296222,0.0010194390022661536
blind_b3c8bdca0110,ap0p900-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.9,70.0,0.06,1.7,1.7,0.02,0.020498473753013585,0.023103982091191633,0.021396802510872743,0.018574166388641934,0.028514038753292344,0.12,0.98,1.0998167999835673,0.01723636899725534
blind_b161936ee1a3,ap0p900-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.9,70.0,0.06,1.9,1.7,0.0,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,270.3766876944786,0.0009669970034155994
blind_b988235c9801,ap0p900-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.9,70.0,0.06,1.9,1.7,0.02,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,273.473464118935,0.0010222870018333197
blind_7e9183878139,ap0p900-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.9,70.0,0.18,1.7,1.7,0.02,0.01876620597227109,0.02260084376601451,0.020147327655098198,0.019644508100897216,0.03209863000843809,0.24,0.99,1.1027874075442918,0.00101627399912104
blind_1c06e334208d,ap0p900-i70p0-l0p180-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.9,70.0,0.18,1.9,1.7,0.0,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,224.37730432758616,0.0009689760021865368
blind_f63a75ce4aa2,ap0p900-i70p0-l0p180-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.9,70.0,0.18,1.9,1.7,0.02,0.098,0.09799999999999998,0.09799999999999998,0.016966000000000037,0.02370249999999995,0.0,0.0,226.92243673533315,0.0010147150012198836
