blind_id,replicate_index,status,failure_cause,spin_map,spin_mean,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
blind_cd385610e651,55,COMPLETED,,0.8169435917632617,0.7495097412191783,0.723810565699909,0.8166395034583294,0.7188723550271261,0.8205933486996712,8.761175684471334,1.2450726000024588,2493530946
blind_cd385610e651,56,COMPLETED,,0.8137389766926854,0.7531890434519122,0.7228193761841206,0.8135214010971465,0.7187543302133944,0.8168111841309852,10.686664877647255,1.2524290000001201,1053820203
blind_cd385610e651,57,COMPLETED,,0.8157871797360806,0.7536076361583222,0.7222992239590557,0.8163716609346127,0.7176417843800645,0.8186445423390637,9.854701973637018,1.2555989999964368,370810852
blind_cd385610e651,58,COMPLETED,,0.8158734057808679,0.7245654521661541,0.7195069308981714,0.7311080557146268,0.5303942666845889,0.8175115512440219,9.026130339729322,1.256671600000118,2751087018
blind_cd385610e651,59,COMPLETED,,0.8154369082113554,0.7536948070434173,0.7216502358284288,0.8157154304250356,0.5262017498916556,0.8183151605011183,7.60199280221855,1.2776890000022831,4280881529
blind_cd385610e651,60,COMPLETED,,0.8156563400954798,0.7598455006436342,0.7237638844569839,0.8157345607897336,0.7196771306667421,0.8190968160133544,8.997784485829193,1.2439985000019078,59361080
blind_cd385610e651,61,COMPLETED,,0.8161417546577227,0.7605888307350888,0.7240780582851368,0.816942949513652,0.7203976888060539,0.8197696765132841,8.181910033879596,1.2688837999958196,1533136132
blind_cd385610e651,62,COMPLETED,,0.8154671046325941,0.7704846596233003,0.7232179814176458,0.8167954237983146,0.7184244922305214,0.8188261530362931,11.85135300932352,1.256211699997948,2262418302
blind_cd385610e651,63,COMPLETED,,0.8150578549201084,0.7597911207298266,0.7234886757815385,0.8157410052278262,0.7189607154612769,0.8187125313786751,9.989356882115603,1.2580088000031537,661381498
blind_cd385610e651,64,COMPLETED,,0.8152028121691461,0.7650296613955015,0.7240049751123472,0.8159831890275855,0.7196529501856098,0.8191744983732882,9.945611973514936,1.2737194999936037,2262692787
blind_cd385610e651,65,COMPLETED,,0.8161154960605178,0.7540387416520419,0.7225441830867745,0.8166816039853163,0.7191659452674546,0.8197434247316846,8.75052513733638,1.2608356999990065,3106682820
blind_cd385610e651,66,COMPLETED,,0.8151985022940141,0.7532745040034803,0.7248233276889321,0.8147537284683258,0.7193123471382951,0.8185697420675506,8.746342087724555,1.2631926000030944,3036142037
blind_cd385610e651,67,COMPLETED,,0.7240655526727706,0.7602145321798547,0.7216164263073318,0.8116414728145673,0.5247679035482116,0.8134115289402747,7.859860986790481,1.25212950000423,2198738287
blind_cd385610e651,68,COMPLETED,,0.8143494941935975,0.7455784723588132,0.7228815834673246,0.8149994154135956,0.716789845173467,0.817509926614144,7.662989326980576,1.243372900004033,658101191
blind_cd385610e651,69,COMPLETED,,0.8148925064472629,0.7584303347158879,0.721976007564272,0.8148059070357259,0.717452897363642,0.8179929687385626,9.071651504323375,1.2477844000022742,2983911253
blind_cd385610e651,70,COMPLETED,,0.8147775733068917,0.7584422619266035,0.7216055781590027,0.8151832510409556,0.7164310971999585,0.8175302660323895,8.247551152586054,1.2611442999987048,1224032332
blind_cd385610e651,71,COMPLETED,,0.8128131208279475,0.7487897125573736,0.7239152178347448,0.8123830788764929,0.7197572734820933,0.8158228495180411,6.674621787675986,1.252450799998769,4247447153
