condition_id,replicate_index,status,failure_cause,spin_true,spin_map,spin_mean,bias,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
ap0p500-i40p0-l0p180-fc1p70-de0p000,4,COMPLETED,,0.5,0.5189599999999999,0.520994693377039,0.020994693377038964,0.4947453373881522,0.54230245355483,0.47155571370662924,0.5653970269109857,0.9103418915920745,0.010664100060239434,3409058468
ap0p500-i40p0-l0p180-fc1p70-de0p000,5,COMPLETED,,0.5,0.49400999999999984,0.49153007810531696,-0.008469921894683041,0.46525198776661225,0.5128165778511554,0.44210577321547195,0.5359658991594901,1.0043928125638804,0.010665700072422624,1437029522
ap0p500-i40p0-l0p180-fc1p70-de0p000,6,COMPLETED,,0.5,0.4989999999999999,0.5011994472314363,0.0011994472314362792,0.4749392589357917,0.5225007728468664,0.4517633484613834,0.5456157317218218,1.2113290520257076,0.010615000035613775,3192217996
ap0p500-i40p0-l0p180-fc1p70-de0p000,7,COMPLETED,,0.5,0.4540899999999999,0.4541538751403507,-0.045846124859649284,0.4278711174108796,0.47545316311183317,0.4048444903178898,0.4984553501969071,0.5840645075088823,0.011429699952714145,906730413
ap0p500-i40p0-l0p180-fc1p70-de0p000,8,COMPLETED,,0.5,0.4890199999999998,0.4898011110496277,-0.010198888950372298,0.4635701511762339,0.5111228467866016,0.44041154426765683,0.5340096706115938,1.0720693274614452,0.010815099929459393,2497143757
ap0p500-i40p0-l0p180-fc1p70-de0p000,9,COMPLETED,,0.5,0.50898,0.5070718669099644,0.007071866909964419,0.4807698544241623,0.5283222892781995,0.4576919824966211,0.5515215105534333,1.1513407212251687,0.010919899912551045,49443141
ap0p500-i40p0-l0p180-fc1p70-de0p000,10,COMPLETED,,0.5,0.4890199999999998,0.4891058362563434,-0.010894163743656593,0.46282428096210676,0.5104061675238609,0.4397934799405825,0.5334041259601194,0.9303115066150234,0.01090920006390661,1636535547
ap0p500-i40p0-l0p180-fc1p70-de0p000,11,COMPLETED,,0.5,0.48402999999999996,0.4858065571710094,-0.014193442828990599,0.4595759758179879,0.5071223425025272,0.43636762537672424,0.5301818749114539,1.0928819530503875,0.010860100039280951,9354561
ap0p500-i40p0-l0p180-fc1p70-de0p000,12,COMPLETED,,0.5,0.5039899999999999,0.5053951901944984,0.0053951901944984115,0.47919533988552,0.5267179626704215,0.45596577919138676,0.5497202245377665,0.8856373335203963,0.01081699994392693,2449603111
ap0p500-i40p0-l0p180-fc1p70-de0p000,13,COMPLETED,,0.5,0.4989999999999999,0.5002451493033975,0.00024514930339747387,0.4740598467452443,0.52156921779679,0.45082316854585636,0.5445442216568622,1.042872022545702,0.010833599953912199,1567075514
ap0p500-i40p0-l0p180-fc1p70-de0p000,14,COMPLETED,,0.5,0.5039899999999999,0.5035932501841387,0.0035932501841386966,0.4772905987962645,0.5248652219434955,0.4543533469496936,0.5479542314409286,0.7610228795651233,0.010867799981497228,2090055118
ap0p500-i40p0-l0p180-fc1p70-de0p000,15,COMPLETED,,0.5,0.52894,0.5311111622711883,0.031111162271188264,0.5048527687678283,0.5524136640465384,0.48167440494371105,0.5755252310461519,1.4381660999616706,0.010888500022701919,3379581459
ap0p500-i40p0-l0p180-fc1p70-de0p000,16,COMPLETED,,0.5,0.5189599999999999,0.5174296889734344,0.017429688973434443,0.49111865677790617,0.5386503720638948,0.4680961766103516,0.5618735274415569,0.8240996129514259,0.010781200020574033,606106397
ap0p500-i40p0-l0p180-fc1p70-de0p000,17,COMPLETED,,0.5,0.50898,0.5073974547778519,0.0073974547778519195,0.48108733518655517,0.5286225175595453,0.45805669413564976,0.5518427778015437,0.9912622735778197,0.011360600008629262,1439430047
ap0p500-i40p0-l0p180-fc1p70-de0p000,18,COMPLETED,,0.5,0.4790399999999999,0.47925127998629174,-0.020748720013708255,0.4529770471203669,0.5005571295899416,0.42992256077567836,0.5235307823250328,0.6240421268952556,0.010605399962514639,186854853
ap0p500-i40p0-l0p180-fc1p70-de0p000,19,COMPLETED,,0.5,0.5039899999999999,0.5017863690690071,0.0017863690690070877,0.47549521991900007,0.5230568205353763,0.45237976311511585,0.5462323646193996,0.7614957554134218,0.010658999904990196,1867973791
ap0p500-i40p0-l0p180-fc1p70-de0p020,0,COMPLETED,,0.5,0.6337299999999999,0.631881715404191,0.13188171540419102,0.6047729114330951,0.6539455972339874,0.5807920164264558,0.6778782392241545,0.9749205029223105,0.010859200032427907,2900235255
ap0p500-i40p0-l0p180-fc1p70-de0p020,1,COMPLETED,,0.5,0.6536899999999999,0.6516904353714775,0.15169043537147753,0.6245907281680377,0.6737387606599616,0.6006066291132353,0.6977049598127384,0.8698920424559821,0.010771599947474897,1325259856
ap0p500-i40p0-l0p180-fc1p70-de0p020,2,COMPLETED,,0.5,0.6437099999999998,0.6424723893902538,0.14247238939025375,0.6153347987520866,0.6645871356313069,0.591376847962316,0.688381458662826,1.3245044775598513,0.010744199971668422,3901716099
ap0p500-i40p0-l0p180-fc1p70-de0p020,3,COMPLETED,,0.5,0.68363,0.6814347754221339,0.18143477542213393,0.6543479438042838,0.7034846751389604,0.6303611092037549,0.7274703386930712,1.1018505897499338,0.01064089999999851,500800614
ap0p500-i40p0-l0p180-fc1p70-de0p020,4,COMPLETED,,0.5,0.59381,0.5916261615265561,0.09162616152655612,0.5645385468253975,0.6136750647533938,0.5405518284233785,0.6376605707334496,0.6847256556933567,0.010937100043520331,745396097
ap0p500-i40p0-l0p180-fc1p70-de0p020,5,COMPLETED,,0.5,0.6337299999999999,0.6325199252672776,0.13251992526727763,0.6053813465751079,0.6546365276735716,0.581424819963643,0.6784245100494186,0.7618775548160192,0.011737100081518292,3901718655
ap0p500-i40p0-l0p180-fc1p70-de0p020,6,COMPLETED,,0.5,0.6237499999999998,0.624981489162031,0.124981489162031,0.5978763270944131,0.6471293018256049,0.574083412891821,0.6710869389844495,1.049327586653205,0.01085419999435544,3938283163
ap0p500-i40p0-l0p180-fc1p70-de0p020,7,COMPLETED,,0.5,0.6337299999999999,0.6325476633284755,0.13254766332847545,0.6054081171397789,0.6546660983352742,0.581453060030233,0.6784476847479618,1.2992396800891541,0.01080839999485761,3191940519
ap0p500-i40p0-l0p180-fc1p70-de0p020,8,COMPLETED,,0.5,0.6486999999999998,0.6494340128945701,0.14943401289457015,0.6223010366018206,0.6715952420367153,0.5985392125006266,0.695521597932387,1.4025670555817795,0.010730700101703405,3837285501
ap0p500-i40p0-l0p180-fc1p70-de0p020,9,COMPLETED,,0.5,0.6936099999999998,0.6934051775859503,0.19340517758595033,0.6662501515715565,0.7155652814056749,0.6423701568622706,0.7393995807753928,0.9486902608963388,0.010842499905265868,2403983185
