a_star,radius_rg,zero_torque_flux,stressed_flux_delta_eta_0p02
-0.5,34.928706943505915,1.1166955618120434e-07,1.2779227554839528e-07
-0.5,35.20547422082586,1.095927364589363e-07,1.2526355868096792e-07
-0.5,35.48443454027355,1.0755061670329665e-07,1.2278231768335503e-07
-0.5,35.76560527902529,1.0554274196726855e-07,1.2034773230784147e-07
-0.5,36.04900395195027,1.0356865889777832e-07,1.1795899450072815e-07
-0.5,36.334648212701566,1.016279159228228e-07,1.1561530827594116e-07
-0.5,36.622555854815886,9.972006342890039e-08,1.1331588958844716e-07
-0.5,36.91274481282193,9.784465392907509e-08,1.1105996620750827e-07
-0.5,37.205233163357605,9.600124222199072e-08,1.0884677758980527e-07
-0.5,37.500039126296066,9.418938554216642e-08,1.0667557475248258e-07
-0.5,37.79718106588069,9.240864370191738e-08,1.045456201461896e-07
-0.5,38.09667749186895,9.065857922515053e-08,1.0245618752810809e-07
-0.5,38.398547060685644,8.8938757473372e-08,1.0040656183504958e-07
-0.5,38.70280857658474,8.724874676418023e-08,9.839603905665398e-08
-0.5,39.00948099282109,8.558811848252386e-08,9.642392610873114e-08
-0.5,39.31858341283075,8.395644718498194e-08,9.448954070677575e-08
-0.5,39.63013509142129,8.235331069734933e-08,9.259221123971604e-08
-0.5,39.94415543597094,8.077829020577213e-08,9.073127664392841e-08
-0.5,40.26066400763776,7.923097034165672e-08,8.890608627753303e-08
-0.5,40.579680522577995,7.771093926064027e-08,8.71159997950588e-08
-0.5,40.90122485317437,7.621778871579957e-08,8.536038702245968e-08
-0.5,41.22531702927389,7.475111412535419e-08,8.363862783255081e-08
-0.5,41.551977239435615,7.331051463507506e-08,8.195011202089305e-08
-0.5,41.881225832188264,7.189559317560079e-08,8.029423918215251e-08
-0.5,42.21308331729766,7.05059565148705e-08,7.867041858697314e-08
-0.5,42.54757036704459,6.914121530587045e-08,7.707806905939379e-08
-0.5,42.88470781751221,6.780098412988171e-08,7.55166188548381e-08
-0.5,43.224516669884316,6.648488153541407e-08,7.39855055387064e-08
-0.5,43.56701809175321,6.519253007300484e-08,7.248417586559914e-08
-0.5,43.91223341843868,6.392355632605909e-08,7.101208565920203e-08
-0.5,44.26018415431664,6.267759093788214e-08,6.956869969284419e-08
-0.5,44.610891974158974,6.145426863510048e-08,6.815349157078805e-08
-0.5,44.96437872448361,6.025322824757509e-08,6.676594361022351e-08
-0.5,45.320666424915395,5.907411272501303e-08,6.54055467240444e-08
-0.5,45.679777269557775,5.791656915038579e-08,6.407180030439134e-08
-0.5,46.04173362837531,5.6780248750302244e-08,6.276421210698933e-08
-0.5,46.40655804858718,5.566480690249012e-08,6.148229813631737e-08
-0.5,46.77427325607168,5.456990314049986e-08,6.022558253161151e-08
-0.5,47.14490215678193,5.3495201155753733e-08,5.899359745371502e-08
-0.5,47.51846783817261,5.244036879708435e-08,5.778588297281403e-08
-0.5,47.8949935706384,5.140507806786615e-08,5.6601986957059756e-08
-0.5,48.2745028089632,5.038900512085305e-08,5.5441464962091457e-08
-0.5,48.657019193781586,4.939183025083775e-08,5.4303880121478947e-08
-0.5,49.042566553051046,4.8413237885243435e-08,5.3188803038102825e-08
-0.5,49.43116890353668,4.7452916572739745e-08,5.209581167647333e-08
-0.5,49.822850452306895,4.651055896999116e-08,5.1024491256008934e-08
-0.5,50.21763559824161,4.558586182662783e-08,4.997443414527953e-08
-0.5,50.615548933552,4.467852596853799e-08,4.8945239757231374e-08
-0.5,51.01661524531243,4.37882562795634e-08,4.793651444539537e-08
-0.5,51.4208595170045,4.291476168168472e-08,4.694787140108853e-08
-0.5,51.82830693007336,4.20577551137892e-08,4.597893055162591e-08
