a_star,inclination_deg,alpha,beta,emission_radius,redshift,emission_mu
0.0,40.0,19.25,-36.75,49.20742658791266,1.0060778687440066,0.8089151690881241
0.0,40.0,22.75,-36.75,50.82743827763476,1.011847328281805,0.8089395746737004
0.0,40.0,26.25,-36.75,52.6416004301881,1.0169873772393947,0.8084865750746828
0.0,40.0,29.75,-36.75,54.628409627904965,1.0215020884903114,0.807698813842646
0.0,40.0,33.25,-36.75,56.768417219480554,1.0254203815404561,0.8066870082810583
0.0,40.0,36.75,-36.75,59.04429653217683,1.0287865388324047,0.8055329416629018
0.0,40.0,40.25,-36.75,61.44074163314558,1.0316527504819635,0.8042948383537045
0.0,40.0,43.75,-36.75,63.9442899764882,1.0340737441620806,0.803012991628028
0.0,40.0,47.25,-36.75,66.54312231395394,1.0361032109684793,0.8017146415590469
0.0,40.0,50.75,-36.75,69.22686665901799,1.0377916285108677,0.8004178039341843
0.0,40.0,54.25,-36.75,71.98641800667566,1.039185095622222,0.7991341029499505
0.0,40.0,57.75,-36.75,74.81377733265698,1.0403248572692183,0.7978707901834142
0.0,40.0,61.25,-36.75,77.70190992894231,1.0412472732499518,0.7966321508667732
0.0,40.0,-64.75,-33.25,77.837615160471,0.925520692672063,0.7081597991661635
0.0,40.0,-61.25,-33.25,74.80903661715791,0.9245484941354757,0.7089982326521459
0.0,40.0,-57.75,-33.25,71.82947972048076,0.9236235001118296,0.710034311038729
0.0,40.0,-54.25,-33.25,68.90490435210316,0.922767387037525,0.7113102680351149
0.0,40.0,-50.75,-33.25,66.0421568711546,0.9220075658947215,0.7128764752822068
0.0,40.0,-47.25,-33.25,63.24911822081854,0.9213784960429042,0.7147925161215516
0.0,40.0,-43.75,-33.25,60.5348782246034,0.920923205056118,0.7171279939450419
0.0,40.0,-40.25,-33.25,57.909940541104106,0.9206949759748999,0.7199627031038762
0.0,40.0,-36.75,-33.25,55.38646269370084,0.9207590962141469,0.7233855527456551
0.0,40.0,-33.25,-33.25,52.9785338859587,0.9211944466937872,0.7274913070020067
0.0,40.0,-29.75,-33.25,50.702487399914986,0.9220945210366291,0.7323738188306689
0.0,40.0,-26.25,-33.25,48.577229351983306,0.9235671760309313,0.7381141132110585
0.0,40.0,-22.75,-33.25,46.62453394239997,0.9257320158832425,0.7447617307103407
0.0,40.0,-19.25,-33.25,44.86919748565168,0.9287138595592812,0.7523087616536653
0.0,40.0,-15.75,-33.25,43.338857099724635,0.9326304606870902,0.7606587984403476
0.0,40.0,-12.25,-33.25,42.06318892337009,0.9375730810571526,0.7695981273743051
0.0,40.0,-8.75,-33.25,41.07217663131557,0.9435804948608458,0.7787827923966362
0.0,40.0,-5.25,-33.25,40.39330535838887,0.950611092676318,0.7877584335448804
0.0,40.0,-1.75,-33.25,40.04796990297145,0.9585228745974324,0.7960231937750831
0.0,40.0,1.75,-33.25,40.04796990297145,0.9670734266967158,0.8031241591990648
0.0,40.0,5.25,-33.25,40.39330535838887,0.975946832832778,0.808753815496676
0.0,40.0,8.75,-33.25,41.07217663131557,0.9848021447245849,0.812805021303364
0.0,40.0,12.25,-33.25,42.06318892337009,0.9933265954601457,0.8153628801663749
0.0,40.0,15.75,-33.25,43.338857099724635,1.0012753458902903,0.8166459638812806
0.0,40.0,19.25,-33.25,44.86919748565168,1.0084885652908957,0.816930614189296
0.0,40.0,22.75,-33.25,46.62453394239997,1.014887937283933,0.8164886637602915
0.0,40.0,26.25,-33.25,48.577229351983306,1.0204608904136228,0.8155514885567914
0.0,40.0,29.75,-33.25,50.702487399914986,1.0252409615973164,0.814297906707578
0.0,40.0,33.25,-33.25,52.9785338859587,1.0292897431956283,0.8128569850248506
0.0,40.0,36.75,-33.25,55.38646269370084,1.032682762567141,0.8113173077323588
0.0,40.0,40.25,-33.25,57.909940541104106,1.0354996126955096,0.8097373393722097
0.0,40.0,43.75,-33.25,60.5348782246034,1.037817697894221,0.8081543821302584
